bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
Vaibhav X,,8,0.0,66.0,2.0,2,0.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,V X,48.0,
Thomas Broughton,6595168,7,0.0,68.0,6.0,2,1.0,Ickleford CC - 2nd XI,58647.0,Ley Hill CC - 1st XI,54824.0,1.0,6803474,T Broughton,42.0,
Joe Foster,6010486,0.2,0.0,0.0,0.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,J Foster,2.0,
Joe Yerrell,6044911,0.4,0.0,0.0,0.0,1,0.0,Ley Hill CC - 1st XI,54824.0,Shenley Village CC - 3rd XI,66192.0,2.0,6803489,J Yerrell,4.0,
Raheel Khan,5402781,0.5,0.0,5.0,0.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Goodwill Wanderers CC - Friendly XI,192284.0,2.0,7074455,R Khan,5.0,
N Wherry,,1,0.0,5.0,0.0,1,1.0,Chelsea Nomads CC - 1st XI,196012.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074454,N Wherry,6.0,
Simon Atkins,5805057,2,0.0,5.0,1.0,1,1.0,Berkhamsted CC - Saturday 4th XI,76555.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804661,S Atkins,12.0,
Ted Sussum,4951412,4,0.0,6.0,1.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,T Sussum,24.0,
Rob Atkin,3904276,1.5,0.0,8.0,3.0,1,0.0,Watton-at-Stone CC - 1st XI,159131.0,Ley Hill CC - 1st XI,54824.0,1.0,6803484,R Atkin,11.0,
Paul Green,1101452,1.1,0.0,10.0,2.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Chelsea Nomads CC - 1st XI,196012.0,2.0,7074454,P Green,7.0,
Shiras Mohamed Mohamed Munas,5103391,1.1,0.0,10.0,0.0,1,0.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,SMM Munas,7.0,
Kamil Pervaiz,5270890,2,0.0,13.0,1.0,1,0.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,K Pervaiz,12.0,
Craig Peterson,3858366,3,1.0,13.0,0.0,1,0.0,Ley Hill CC - 1st XI,54824.0,Watton-at-Stone CC - 1st XI,159131.0,2.0,6803484,C Peterson,18.0,
Aarav Dahiya,4933836,3.0,0.0,14.0,1.0,1,0.0,Flitwick CC - 3rd XI,20669.0,Ley Hill CC - 1st XI,54824.0,2.0,6803476,A Dahiya,18.0,
Luke Bell,4399956,8,1.0,14.0,0.0,1,0.0,Ley Hill CC - 2nd XI,119465.0,Harpenden CC - 6th XI,116317.0,1.0,6804665,L Bell,48.0,
Charlie Sussum,6227859,3,0.0,15.0,0.0,1,1.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,C Sussum,18.0,
Jon Humphreys,4944051,8.0,4.0,16.0,0.0,1,0.0,Ley Hill CC - 2nd XI,119465.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,2.0,6804656,J Humphreys,48.0,
Muhammad Rafiq,6212842,3,0.0,17.0,0.0,1,2.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,M Rafiq,18.0,
