bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
A Todd,6421546,4,0.0,37.0,1.0,0,6.0,Soho Cricket Collective - Friendly XI,207493.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074449,A Todd,24.0,
Michael Snow,4527056,6.0,1.0,37.0,0.0,0,0.0,Shenley Village CC - 3rd XI,66192.0,Ley Hill CC - 1st XI,54824.0,1.0,6803489,M Snow,36.0,
Arkansh Pandey,5789317,6.0,0.0,38.0,0.0,0,0.0,Shenley Village CC - 3rd XI,66192.0,Ley Hill CC - 1st XI,54824.0,1.0,6803489,A Pandey,36.0,
S Patel,6373508,6,0.0,41.0,7.0,0,1.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,S Patel,36.0,
Ian Moxon-Booth,71507,9.0,0.0,41.0,5.0,0,0.0,Flitwick CC - 3rd XI,20669.0,Ley Hill CC - 1st XI,54824.0,2.0,6803476,I Moxon-Booth,54.0,
Ted Sussum,4951412,10.0,2.0,41.0,6.0,0,0.0,Ley Hill CC - 1st XI,54824.0,Flitwick CC - 3rd XI,20669.0,1.0,6803476,T Sussum,60.0,
Bradley Williams,4548,10,0.0,50.0,5.0,0,0.0,Watton-at-Stone CC - 1st XI,159131.0,Ley Hill CC - 1st XI,54824.0,1.0,6803484,B Williams,60.0,
Vinoth X,,7,0.0,59.0,1.0,0,0.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,V X,42.0,
,,,,,,0,,,,,,,,,,bowler_name
,,,,,,0,,,,,,,,,,bowler_id
