position,batsman_name,batsman_id,how_out,fielder_name,fielder_id,bowler_name,bowler_id,runs,fours,sixes,balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,not_out,initial_name
10,Joe Yerrell,6044911,not out,,,,,15,2,0,16,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,1.0,J Yerrell
9,D Synge,3644650,not out,,,,,15,3,0,16,Chelsea Nomads CC - 1st XI,196012,Ley Hill CC - Sunday 1st XI,216373,2,7074454,1.0,D Synge
7,J Fardos,,st,Alastair Rowe,4952492,Edward Pike,6676091,15,1,1,17,Chelsea Nomads CC - 1st XI,196012,Ley Hill CC - Sunday 1st XI,216373,2,7074454,0.0,J Fardos
5,Faiz Rahmi,6617296,retired not out,,,,,14,0,0,0,"Northwood Town CC, Middlesex - 4th XI",277347,Ley Hill CC - 2nd XI,119465,2,6804656,1.0,F Rahmi
5,D De Keller,3644646,ct,Luke Bell,4399956,Paul Green,1101452,14,3,0,8,Chelsea Nomads CC - 1st XI,196012,Ley Hill CC - Sunday 1st XI,216373,2,7074454,0.0,DD Keller
7,Sanjeeb Kundu,6451834,run out,Unsure,,,,14,2,0,18,Ley Hill CC - 2nd XI,119465,West Herts CC - 6th XI,302557,2,6804671,0.0,S Kundu
8,Jamie Valentine,4524064,b,,,Imran X,,14,1,0,21,Ley Hill CC - Sunday 1st XI,216373,Chesham Bois CC - Friendly XI,39794,1,7074453,0.0,J Valentine
4,P Babaar,5619297,ct,Ted Sussum,4951412,Joe Foster,6010486,14,1,0,24,Goodwill Wanderers CC - Friendly XI,192284,Ley Hill CC - Sunday 1st XI,216373,2,7074455,0.0,P Babaar
1,Raheel Khan,5402781,ct,Pratham Gowda,6193970,Pratham Gowda,6193970,13,3,0,11,Ley Hill CC - 1st XI,54824,Shenley Village CC - 3rd XI,66192,1,6803489,0.0,R Khan
8,Viral Bhavsar,5974971,run out,Mohamed nusly Mohamed nijam,6693580,,,13,0,0,19,Ley Hill CC - 2nd XI,119465,West Herts CC - 6th XI,302557,2,6804671,0.0,V Bhavsar
3,Aarav Dahiya,4933836,b,,,Scott Peterson,5483704,13,3,0,34,Flitwick CC - 3rd XI,20669,Ley Hill CC - 1st XI,54824,1,6803476,0.0,A Dahiya
7,Jon Humphreys,4944051,ct,Faiz Rahmi,6617296,Stanley Babukutty,6210378,12,0,0,0,Ley Hill CC - 2nd XI,119465,"Northwood Town CC, Middlesex - 4th XI",277347,1,6804656,0.0,J Humphreys
1,Yusuf Khan,4940735,ct,S Patel,6682067,A Ameer,6373509,12,0,2,12,Ley Hill CC - Sunday 1st XI,216373,Goodwill Wanderers CC - Friendly XI,192284,1,7074455,0.0,Y Khan
5,Davinder Singh,6641800,run out,Jamie Valentine,4524064,,,12,2,0,19,Berkhamsted CC - Saturday 4th XI,76555,Ley Hill CC - 2nd XI,119465,1,6804661,0.0,D Singh
3,James Lagdon,4576697,b,,,Charlie Sherling,5795720,12,2,0,20,Ley Hill CC - 2nd XI,119465,Berkhamsted CC - Saturday 4th XI,76555,2,6804661,0.0,J Lagdon
8,Tim Buckley,5824712,not out,,,,,12,3,0,22,Berkhamsted CC - Saturday 4th XI,76555,Ley Hill CC - 2nd XI,119465,1,6804661,1.0,T Buckley
1,Mohammed Khayam,4992169,ct,Justin Hutchins,3570739,Viral Bhavsar,5974971,12,2,0,22,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,0.0,M Khayam
9,Joe Yerrell,6044911,not out,,,,,11,2,0,8,Ley Hill CC - Sunday 1st XI,216373,Chesham Bois CC - Friendly XI,39794,1,7074453,1.0,J Yerrell
2,A Rafiq,,st,Yusuf Khan,4940735,Kabir Rab,4943870,11,1,1,12,Goodwill Wanderers CC - Friendly XI,192284,Ley Hill CC - Sunday 1st XI,216373,2,7074455,0.0,A Rafiq
8,Ted Sussum,4951412,not out,,,,,11,1,0,14,Ley Hill CC - 1st XI,54824,Flitwick CC - 3rd XI,20669,2,6803476,1.0,T Sussum
11,Jonny Carpenter,5516200,ct,Unsure,,Rob Atkin,3904276,11,1,0,17,Ley Hill CC - 1st XI,54824,Watton-at-Stone CC - 1st XI,159131,1,6803484,0.0,J Carpenter
5,Shiras Mohamed Mohamed Munas,5103391,ct,James Lagdon,4576697,Geoffrey Sussum,4951380,11,1,0,29,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,0.0,SMM Munas
7,Jamie Valentine,4524064,not out,,,,,11,0,1,30,Ley Hill CC - Sunday 1st XI,216373,Soho Cricket Collective - Friendly XI,207493,1,7074449,1.0,J Valentine
6,Joe Foster,6010486,b,,,Dan March,4733831,10,0,1,6,Ley Hill CC - Sunday 1st XI,216373,Soho Cricket Collective - Friendly XI,207493,1,7074449,0.0,J Foster
1,P Withams,210163,ct,Unsure,,Joe Foster,6010486,10,2,0,21,Chesham Bois CC - Friendly XI,39794,Ley Hill CC - Sunday 1st XI,216373,2,7074453,0.0,P Withams
2,Jon Lown,5902299,ct,Unsure,,J Fardos,,10,1,0,34,Ley Hill CC - Sunday 1st XI,216373,Chelsea Nomads CC - 1st XI,196012,1,7074454,0.0,J Lown
6,Matthew Arnold,6314397,b,,,James Lagdon,4576697,9,0,0,0,Harpenden CC - 6th XI,116317,Ley Hill CC - 2nd XI,119465,1,6804665,0.0,M Arnold
5,K Patel,6682063,ct,Ted Sussum,4951412,Joe Foster,6010486,9,2,0,9,Goodwill Wanderers CC - Friendly XI,192284,Ley Hill CC - Sunday 1st XI,216373,2,7074455,0.0,K Patel
